Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,1N4AZ0CPXEC331294,PAS,ENDWELL        ,NY,13760,BROOME      ,2014,NISSA,4DSD,ELECTRIC,3277,,,11/09/2017,11/08/2019,RD   ,N,N,N
VEH ,1N4AZ0CPXEC330761,PAS,LATHAM         ,NY,12110,ALBANY      ,2014,NISSA,4DSD,ELECTRIC,3242,,,06/21/2018,06/26/2020,BL   ,N,N,N
VEH ,1N4AZ0CPXDC425707,PAS,MASPETH        ,NY,11378,QUEENS      ,2013,NISSA,4DSD,ELECTRIC,3256,,,08/01/2018,08/16/2020,WH   ,N,N,N
VEH ,1N4AZ0CPXDC422449,PAS,ORCHARD PARK   ,NY,14127,ERIE        ,2013,NISSA,4DSD,ELECTRIC,3256,,,03/15/2017,03/14/2019,WH   ,N,N,N
VEH ,1N4AZ0CPXDC421866,PAS,CORNING        ,NY,14830,STEUBEN     ,2013,NISSA,4DSD,ELECTRIC,3256,,,09/19/2016,11/10/2018,BL   ,N,N,N
VEH ,1N4AZ0CPXDC418630,PAS,BROCKPORT      ,NY,14420,MONROE      ,2013,NISSA,4DSD,ELECTRIC,3256,,,10/26/2016,10/25/2018,GY   ,N,N,N
VEH ,1N4AZ0CPXDC417932,PAS,STATEN ISLAND  ,NY,10310,RICHMOND    ,2013,NISSA,4DSD,ELECTRIC,3340,,,12/05/2016,01/14/2019,GY   ,N,N,N
VEH ,1N4AZ0CPXDC412133,PAS,HALESITE       ,NY,11743,SUFFOLK     ,2013,NISSA,4DSD,ELECTRIC,3340,,,10/06/2017,07/18/2019,WH   ,N,N,N
VEH ,1N4AZ0CPXDC411418,PAS,TUPPER LAKE    ,NY,12986,FRANKLIN    ,2013,NISSA,4DSD,ELECTRIC,3291,,,02/14/2018,09/13/2019,RD   ,N,N,N
VEH ,1N4AZ0CPXDC411399,PAS,KEENE          ,NY,12942,ESSEX       ,2013,NISSA,4DSD,ELECTRIC,3256,,,06/13/2018,04/28/2019,BL   ,N,N,N
VEH ,1N4AZ0CPXDC410866,PAS,ONTARIO        ,NY,14519,WAYNE       ,2013,NISSA,4DSD,ELECTRIC,3340,,,10/31/2016,10/31/2018,WH   ,N,N,N
VEH ,1N4AZ0CPXDC403965,PAS,FREDONIA       ,NY,14063,CHAUTAUQUA  ,2013,NISSA,4DSD,ELECTRIC,3256,,,08/16/2018,04/26/2019,GY   ,N,N,N
VEH ,1N4AZ0CPXDC403397,PAS,E NASSAU       ,NY,12062,RENSSELAER  ,2013,NISSA,4DSD,ELECTRIC,3291,,,02/25/2017,04/08/2019,GY   ,N,N,N
VEH ,1N4AZ0CPXDC403352,PAS,COXSACKIE      ,NY,12051,GREENE      ,2013,NISSA,4DSD,ELECTRIC,3454,,,08/03/2018,08/02/2020,GY   ,N,N,N
